分公司,商户类型,商户号,商户名称,交易笔数,交易金额,优惠交易笔数,用户数
总公司,信用卡还款,001980099990002,银联转账（云闪付）,502053,1400588524,113663,366685
总公司,转账或信用卡还款,001980099990002,银联转账（云闪付）,502053,1400588524,113663,366685
总公司,信用卡还款,303980094985841,光大卡中心信用卡还款（深圳线上）,103947,630668825,19326,90983
总公司,信用卡还款,302980094985840,中信银行信用卡还款(深圳),102653,608420847,19165,92914
总公司,信用卡还款,307980094985840,平安信用卡中心还款业务(深圳),101751,643520311,17791,89352
深圳,信用卡还款,886584060129993,招行信用卡还款,73795,615107055,12755,67159
总公司,信用卡还款,310980094985842,浦发银行信用卡还款,66548,369910355,13284,60365
深圳,信用卡还款,886584060129963,民生银行,59844,386229939,9948,51646
总公司,信用卡还款,306980094985840,广发信用卡还款(深圳),48130,413266590,8023,42114
总公司,信用卡还款,309980094985840,兴业银行信用卡还款,48094,390825247,7099,42881
上海,外部商户,898310172110109,U净,32417,21203,30994,16986
总公司,信用卡还款,304980094985840,华夏银行信用卡中心,30492,165623186,4934,27099
北京,外部商户,104100554111444,京东商城平台商户,24572,6766880,6609,19383
总公司,公共缴费,303440149000003,光大股份有限公司,22481,516010,19100,20634
上海,外部商户,802080290000015,中国铁路网络有限公司,19458,3705013,8497,17978
天津,外部商户,802120041110500,云闪付乘车码,18346,37862,4945,14771
总公司,充值,802301048140001,欧飞(移动),12459,878003,5720,11423
浙江,外部商户,822331041310017,杭州市公共交通集团（电子客票）,10063,29961,3612,10282
总公司,信用卡还款,413980094980001,广州互联网还款,9348,63196633,1238,8293
北京,外部商户,898111953111590,京东到家,7970,714310,7761,6740
上海,外部商户,301310047220005,携程旅行网,7018,7139343,1546,5677
上海,外部商户,937310053110017,唯品会,6913,1918271,1953,6516
总公司,充值,103330148140003,浙江开心果网络科技有限公司（移动）,6309,450277,3009,5762
厦门,外部商户,898352241110101,(特约)厦门轨道交通集团有限公司,6242,17417,535,3817
贵州,公共缴费,443701092220174,（特约）贵州交罚,4930,394243,443,2083
总公司,信用卡还款,401980094985840,上海银行信用卡中心还款业务(深圳),4393,18171464,876,4268
总公司,信用卡还款,321000194980002,汇丰银行互联网还款,4357,20241676,719,4177
