分公司,商户类型,商户号,商户名称,交易笔数,交易金额,优惠交易笔数,用户数
总公司,转账或信用卡还款,001980099990002,银联转账（云闪付）,422280,1327771903,90103,323229
总公司,信用卡还款,001980099990002,银联转账（云闪付）,422280,1327771903,90103,323229
总公司,信用卡还款,310980094985842,浦发银行信用卡还款,82719,508511669,15352,72054
总公司,信用卡还款,307980094985840,平安信用卡中心还款业务(深圳),67871,408956238,11043,61699
总公司,信用卡还款,303980094985841,光大卡中心信用卡还款（深圳线上）,57694,316888946,8869,49159
深圳,信用卡还款,886584060129963,民生银行,54440,358822246,8769,47776
深圳,信用卡还款,886584060129993,招行信用卡还款,46971,408916019,7866,42765
上海,外部商户,898310172110109,U净,46598,49499,45760,27473
总公司,信用卡还款,306980094985840,广发信用卡还款(深圳),44303,392871067,6882,37196
总公司,信用卡还款,309980094985840,兴业银行信用卡还款,42169,353391761,5503,39315
总公司,信用卡还款,302980094985840,中信银行信用卡还款(深圳),33689,173543026,4876,31354
总公司,信用卡还款,304980094985840,华夏银行信用卡中心,25283,129084787,4252,21816
北京,外部商户,104100554111444,京东商城平台商户,22932,5410540,5732,19387
总公司,公共缴费,303440149000003,光大股份有限公司,21313,492382,16892,19362
青岛,外部商户,898053289990086,浙江集享电子商务有限公司,16735,958870,17417,12128
总公司,充值,802301048140001,欧飞(移动),14664,1122706,5909,13013
上海,外部商户,827310053110122,上海甄会选电子商务有限公司,12985,233280,13202,6252
北京,外部商户,898111953111590,京东到家,11184,1248564,11234,10050
总公司,信用卡还款,413980094980001,广州互联网还款,8207,51458793,957,7123
总公司,信用卡还款,443701094980087,贵阳银行信用卡还款,7685,31430160,1109,6724
总公司,信用卡还款,586410194980002,中原银行股份有限公司信用卡还款,7027,28940679,1454,6470
总公司,信用卡还款,401980094985840,上海银行信用卡中心还款业务(深圳),6857,35226265,1507,6228
总公司,信用卡还款,321000194980002,汇丰银行互联网还款,6703,36280013,1146,5800
总公司,充值,103330148140003,浙江开心果网络科技有限公司（移动）,5456,422607,2369,4734
上海,外部商户,937310053110017,唯品会,4669,1407604,1288,4142
上海,外部商户,802080290000015,中国铁路网络有限公司,4463,1091020,1937,3764
总公司,信用卡还款,505581094980001,广州农商互联还款,3684,26119405,555,3103
总公司,信用卡还款,417980094982210,盛京银行信用卡中心,3605,14139585,1007,3128
总公司,充值,802301048140003,欧飞(联通),3425,261778,1524,3248
北京,外部商户,898111953990224,多点,3208,249531,3077,2778
总公司,充值,802301048140002,欧飞(电信),2989,267952,1195,2830
辽宁,公共缴费,826221049004053,国网辽宁省电力有限公司沈阳供电公司,2972,143232,2370,2785
总公司,信用卡还款,442980094989800,哈尔滨银行信用卡中心(),2712,15508559,507,2239
福建,公共缴费,008350183980012,福建省电信有限公司,2647,18711,2558,2506
总公司,信用卡还款,461980094980001,长沙银行互联还款,2565,11468978,445,2199
广东,外部商户,607441075120202,深圳万顺叫车云信息技术有限公司,2506,1848912,42,255
北京,外部商户,104100554111443,京东商城平台商户,2492,184486,0,1288
